key,en,ar,sw
UGA-835B399901-248B17886695-X-228362,Nakigudo,,
UGA-835B72727119-248B97264778-X-232281,Kanyampara,,
UGA-835B72727119-248B27334734-X-226560,Rutenga,,
UGA-835B72727119-248B41946409-X-227404,Nyamitanga,,
UGA-835B62483631-248B1366518-X-8225358,Lolim,,
UGA-835B90444989-248B31404622-X-11259352,Butaja,,
UGA-835B62483631-248B10059782-X-8080281,Leleo,,
UGA-835B399901-248B49161681-X-228480,Najjembe,,
UGA-835B62483631-248B97714136-X-8081219,Aupi,,
UGA-835B399901-248B41672687-X-233053,Kabandi,,
UGA-835B90444989-248B1755112-X-8628972,Bushiyi,,
UGA-835B72727119-248B41946409-X-229625,Lwenshanku,,
UGA-835B90444989-248B96758658-X-226086,Tuskini,,
UGA-835B399901-248B16684636-X-234437,Bukalasa,,
UGA-835B399901-248B61504981-X-234286,Bulema,,
UGA-835B72727119-248B54163254-X-226466,Rwengwe,,
UGA-835B399901-248B96313032-X-231067,Kisalama,,
UGA-835B62483631-248B10081081-X-227255,Ochini,,
UGA-835B72727119-248B96619698-X-228922,Mugore,,
UGA-835B62483631-248B53713105-X-235217,Amii,,
UGA-835B90444989-248B41835262-X-232410,Kamuge,,
UGA-835B62483631-248B3915828-X-8197141,Agole,,
UGA-835B90444989-248B60627701-X-228846,Mukuju,,
UGA-835B399901-248B53396261-X-230905,Kitenga,,
UGA-835B72727119-248B24389435-X-228703,Mutozho,,
UGA-835B90444989-248B7038503-X-230308,Kyemeire,,
UGA-835B399901-248B16684636-X-230750,Kiziba,,
UGA-835B399901-248B61504981-X-232800,Kagogo,,
UGA-835B62483631-248B97714136-X-229210,Michu,,
UGA-835B399901-248B35171115-X-230838,Kituntu,,
UGA-835B72727119-248B96619698-X-232815,Kagasa,,
UGA-835B399901-248B86094061-X-231530,Kibula,,
UGA-835B72727119-248B25830148-X-231602,Kibambura,,
UGA-835B399901-248B95499298-X-226292,Silobera,,
UGA-835B62483631-248B4727943-X-8142098,Tianyu,,
UGA-835B62483631-248B97714136-X-233498,Eruba,,
UGA-835B90444989-248B10054761-X-227143,Okuba,,
UGA-835B399901-248B16684636-X-231740,Kawumu,,
UGA-835B399901-248B43617230-X-11357103,Nalumunye,,
UGA-835B90444989-248B30333619-X-11553405,Kalebera,,
UGA-835B62483631-248B4727943-X-8142038,Palaro,,
UGA-835B399901-248B16684636-X-231764,Kawanga,,
UGA-835B72727119-248B22284724-X-226596,Rumira,,
UGA-835B72727119-248B24486432-X-8080940,Ndalagi,,
UGA-835B72727119-248B59195059-X-229140,Mitwebiri,,
UGA-835B399901-248B53396261-X-229798,Lusalira,,
UGA-835B399901-248B43617230-X-11552613,Kikaya,,
UGA-835B399901-248B17886695-X-229010,Mpoma,,
UGA-835B399901-248B56974785-X-231447,Kigege,,
UGA-835B399901-248B53396261-X-232927,Kabutende,,
UGA-835B90444989-248B38078585-X-235222,Amero,,
UGA-835B62483631-248B29133680-X-231872,Katik,,
UGA-835B62483631-248B10081081-X-233282,Icheme,,
UGA-835B62483631-248B10081081-X-8194852,Oromo,,
UGA-835B399901-248B16333754-X-229922,Lugalama,,
UGA-835B72727119-248B93744651-X-231227,Kimina,,
UGA-835B72727119-248B41946409-X-226679,Rubindi,,
UGA-835B399901-248B95633298-X-11552000,Lugo,,
UGA-835B399901-248B96052226-X-232161,Kasagama,,
UGA-835B399901-248B16684636-X-234830,Bbuto,,
UGA-835B72727119-248B96619698-X-231670,Kazo,,
UGA-835B399901-248B95499298-X-229534,Magala,,
UGA-835B90444989-248B41977713-X-11259398,Bulwande,,
UGA-835B62483631-248B43395743-X-8081035,Oborowiyo,,
UGA-835B72727119-248B24486432-X-8080895,Mbarara,,
UGA-835B90444989-248B9362581-X-226986,Operepe,,
UGA-835B399901-248B76691284-X-234809,Bigasa,,
UGA-835B399901-248B56974785-X-228388,Nakawungu,,
UGA-835B399901-248B96052226-X-231575,Kibeja,,
UGA-835B62483631-248B83712907-X-227523,Nyai,,
UGA-835B62483631-248B3915828-X-230213,Lamogi,,
